cell,capture_status,source,exe_sha256,renderer,gameplay_qualification,error,cadence_fps,p95_ms,p99_ms,max_ms,intervals,over_75ms,over_150ms,median_gap_spacing_s
busy-control-OPENGL,complete,172c4bd80a2e4583e39b83190a4a6807d8ab9115,2dbe9ccedda7a2494374f89c60e5982233848bf023cc23ebe6927631753a3d75,OPENGL,NOT_ESTABLISHED,,38.86980546154284,31.275,36.6,45.857,2331,0,0,
busy-control-VULKAN,complete,172c4bd80a2e4583e39b83190a4a6807d8ab9115,2dbe9ccedda7a2494374f89c60e5982233848bf023cc23ebe6927631753a3d75,VULKAN,NOT_ESTABLISHED,,28.51673117833169,40.694,46.693,72.557,1709,0,0,
candidate-OPENGL,complete,172c4bd80a2e4583e39b83190a4a6807d8ab9115,8cc4a43c732c58fb2e5ab320c413a5ad090aeb619c134221c0a1d4343e399a37,OPENGL,NOT_ESTABLISHED,,38.746003922382684,31.624,36.77,45.162,2324,0,0,
candidate-VULKAN,complete,172c4bd80a2e4583e39b83190a4a6807d8ab9115,8cc4a43c732c58fb2e5ab320c413a5ad090aeb619c134221c0a1d4343e399a37,VULKAN,NOT_ESTABLISHED,,28.110647376204525,42.016,48.121,76.64500000000001,1686,1,0,
