backend,metric,baseline_r1,baseline_r2,candidate_r1,candidate_r2,baseline_mean,candidate_mean,delta_percent
opengl,"CPU mean, % host",15.838917764767203,15.671123620726217,16.039142009577528,15.991933766921429,15.75502069274671,16.01553788824948,1.6535503226771775
opengl,"Working set mean, MiB",581.3742327008929,465.91714638157896,567.5888157894736,541.1905691964286,523.6456895412359,554.3896924929511,5.871145999244232
opengl,"Private memory mean, MiB",2185.433035714286,2155.357661732456,2151.0681880482457,2193.6424386160716,2170.395348723371,2172.3553133321584,0.09030449728617551
opengl,"Process GPU engine sum mean, %",80.33940970688319,80.06028297052067,80.69495136961714,81.31074543011987,80.19984633870193,81.0028483998685,1.0012513712000182
opengl,"Process dedicated GPU mean, MiB",154.16964285714286,153.59730747767858,156.25849780701753,152.21958705357142,153.88347516741072,154.2390424302945,0.23106266770811512
opengl,"Process shared GPU mean, MiB",41.625,41.410714285714285,41.625,41.625,41.51785714285714,41.625,0.2580645161290418
opengl,"Device GPU mean, %",45.642857142857146,44.275862068965516,43.689655172413794,47.035714285714285,44.95935960591133,45.36268472906404,0.8970882296545968
opengl,"Device VRAM mean, MiB",484.9642857142857,479.0689655172414,483.9655172413793,488.39285714285717,482.0166256157636,486.1791871921182,0.8635721996180123
opengl,"Device VRAM peak, MiB",541.0,543.0,545.0,544.0,542.0,544.5,0.46125461254613587
vulkan,"CPU mean, % host",15.160780840555368,15.157839245151585,15.16827092289725,15.198064349016741,15.159310042853477,15.183167635956995,0.1573791487612164
vulkan,"Working set mean, MiB",2117.0543619791665,2151.555729166667,2148.724841101695,2128.801485655738,2134.3050455729167,2138.7631633787164,0.20887912976859102
vulkan,"Private memory mean, MiB",6781.65234375,6901.56796875,6911.8332229872885,6802.542392418033,6841.61015625,6857.187807702661,0.22768984342715903
vulkan,"Process GPU engine sum mean, %",59.555019809583634,58.96822927179609,57.258995716642666,58.8694681413675,59.261624540689866,58.06423192900508,-2.0205193849565095
vulkan,"Process dedicated GPU mean, MiB",3263.3688151041665,3263.501171875,3265.6569782838983,3263.3869140625,3263.4349934895836,3264.5219461731995,0.033307011960848065
vulkan,"Process shared GPU mean, MiB",1736.1239583333333,1736.17578125,1745.9893405720338,1745.9424479166667,1736.1498697916668,1745.9658942443502,0.5653903861341902
vulkan,"Device GPU mean, %",37.733333333333334,38.53333333333333,34.53333333333333,37.58064516129032,38.13333333333333,36.056989247311826,-5.444958267538913
vulkan,"Device VRAM mean, MiB",3565.0333333333333,3565.5,3576.0,3466.6774193548385,3565.2666666666664,3521.3387096774195,-1.2321085937259557
vulkan,"Device VRAM peak, MiB",3701.0,3704.0,3708.0,3707.0,3702.5,3707.5,0.13504388926401933
