renderer,metric,baseline,candidate,delta_percent
VULKAN,guest_fps,30.00374585373184,30.005723663337477,0.0065918756120719735
VULKAN,guest_p95_ms,39.5265,39.404,-0.3099186621633443
VULKAN,guest_p99_ms,41.678,41.733999999999995,0.13436345314072895
VULKAN,host_cpu_percent,21.578090812752432,22.069986838036787,2.2796086528361847
VULKAN,process_gpu_engine_percent,45.07279586877179,44.075844717568124,-2.21186889339251
VULKAN,device_gpu_percent,35.8,34.150000000000006,-4.608938547486008
VULKAN,private_memory_mib,3106.2007812499996,3110.44443359375,0.1366187391802276
VULKAN,dedicated_gpu_memory_mib,674.30927734375,674.3515625,0.006270884543746469
VULKAN,shared_gpu_memory_mib,467.708984375,468.40126953125,0.14801621935383036
VULKAN,nvidia_board_power_watts,21.415999999999997,21.4055,-0.04902876354125896
OPENGL,guest_fps,30.00784881361311,29.995711980438905,-0.04044552893340825
OPENGL,guest_p95_ms,39.894,40.341,1.12046924349527
OPENGL,guest_p99_ms,42.5725,42.977999999999994,0.9524928063890936
OPENGL,host_cpu_percent,22.35576912913509,22.516595516767435,0.7193954576259598
OPENGL,process_gpu_engine_percent,44.45432736223816,44.53380010456422,0.1787739170552971
OPENGL,device_gpu_percent,38.65,38.25,-1.0349288486416475
OPENGL,private_memory_mib,2284.7427734374996,2282.514453125,-0.09753046769230833
OPENGL,dedicated_gpu_memory_mib,160.869140625,160.61181640625,-0.15995872033023328
OPENGL,shared_gpu_memory_mib,41.625,41.875,0.6006006006006093
OPENGL,nvidia_board_power_watts,23.9595,23.921999999999997,-0.15651411757341416
