run_id,build,renderer,guest_fps,guest_p95_ms,guest_p99_ms,host_fps,nvidia_board_power_watts,host_cpu_percent,process_gpu_engine_percent,device_gpu_percent,private_memory_mib,dedicated_gpu_memory_mib,shared_gpu_memory_mib
eng523-github-pr18-linear-span-baseline-1-pgr2-vulkan,baseline,VULKAN,30.006007463180335,40.62,42.231,60.004495883146134,20.884999999999998,21.546418936038506,42.801406392215185,37.2,3103.2634765625,674.30234375,468.367578125
eng523-github-pr18-linear-span-candidate-2-pgr2-vulkan,candidate,VULKAN,30.001618278244212,38.343,41.107,59.99963406064631,21.84,22.539274408072735,46.18779015538187,34.1,3115.4609375,674.334375,468.3853515625
eng523-github-pr18-linear-span-candidate-3-pgr2-vulkan,candidate,VULKAN,30.009829048430746,40.465,42.361,60.00131972877718,20.971,21.600699268000838,41.96389927975438,34.2,3105.4279296875,674.36875,468.4171875
eng523-github-pr18-linear-span-baseline-4-pgr2-vulkan,baseline,VULKAN,30.001484244283343,38.433,41.125,59.99844214161705,21.947,21.609762689466358,47.344185345328405,34.4,3109.1380859375,674.3162109375,467.050390625
eng523-github-pr18-linear-span-baseline-1-pgr2-opengl,baseline,OPENGL,30.010662582312115,40.19,43.004,59.99589016480019,24.096,22.744260993953034,44.605330404935074,38.0,2281.998828125,159.609375,41.625
eng523-github-pr18-linear-span-candidate-2-pgr2-opengl,candidate,OPENGL,29.997892472088544,39.548,42.571,59.992774648348416,24.028,22.19931844735304,44.67686505781977,38.5,2287.8208984375,161.6064453125,42.125
eng523-github-pr18-linear-span-candidate-3-pgr2-opengl,candidate,OPENGL,29.99353148878927,41.134,43.385,59.99844194204494,23.816,22.83387258618183,44.39073515130867,38.0,2277.2080078125,159.6171875,41.625
eng523-github-pr18-linear-span-baseline-4-pgr2-opengl,baseline,OPENGL,30.005035044914106,39.598,42.141,59.996747866023874,23.823,21.96727726431715,44.303324319541254,39.3,2287.48671875,162.12890625,41.625
