workload,renderer,baseline_runs,baseline_fps,baseline_p95_ms,baseline_p99_ms,candidate_runs,candidate_fps,candidate_p95_ms,candidate_p99_ms,fps_change_percent
morrowind,VULKAN,1,27.685267038494906,44.614,47.996,1,26.745453898901182,43.884,50.301,-3.3946327419813738
morrowind,OPENGL,1,38.628674064758265,32.6,36.615,1,37.38062252666551,34.001,39.965,-3.230894065896439
pgr2,VULKAN,2,30.00769675942691,39.495000000000005,41.818,2,30.00062695893496,39.980500000000006,42.838499999999996,-0.023559957129104525
pgr2,OPENGL,2,30.006021522795518,39.584,42.2465,2,30.00503731176034,39.533,42.516,-0.003280045088382977
