cell,timestamp_us_since_window_start
baseline-vulkan,8970740
baseline-vulkan,9004407
baseline-vulkan,9037525
baseline-vulkan,9069699
baseline-vulkan,9103755
baseline-vulkan,9136956
baseline-vulkan,9171311
baseline-vulkan,9203032
baseline-vulkan,9237465
baseline-vulkan,9270079
baseline-vulkan,9304159
baseline-vulkan,9336810
baseline-vulkan,9382764
baseline-vulkan,9419733
baseline-vulkan,9453786
baseline-vulkan,9488123
baseline-vulkan,9519696
baseline-vulkan,9554099
baseline-vulkan,9586786
baseline-vulkan,9619697
baseline-vulkan,9653271
baseline-vulkan,9694078
baseline-vulkan,9733672
baseline-vulkan,9774060
baseline-vulkan,9808303
baseline-vulkan,9848233
baseline-vulkan,9889949
baseline-vulkan,9927545
baseline-vulkan,9967441
candidate-vulkan,23478
candidate-vulkan,63058
candidate-vulkan,104998
candidate-vulkan,146650
candidate-vulkan,190184
candidate-vulkan,229800
candidate-vulkan,274204
candidate-vulkan,315330
candidate-vulkan,356946
candidate-vulkan,395353
candidate-vulkan,436558
candidate-vulkan,476982
candidate-vulkan,515574
candidate-vulkan,553663
candidate-vulkan,599468
candidate-vulkan,647496
candidate-vulkan,687707
candidate-vulkan,729715
candidate-vulkan,771843
candidate-vulkan,808429
candidate-vulkan,844487
candidate-vulkan,880186
candidate-vulkan,916201
candidate-vulkan,951479
candidate-vulkan,988782
candidate-vulkan,1026685
candidate-vulkan,1061520
candidate-vulkan,1097616
candidate-vulkan,1132258
candidate-vulkan,1166358
candidate-vulkan,1203451
candidate-vulkan,1249599
candidate-vulkan,1283680
candidate-vulkan,1319265
candidate-vulkan,1355843
candidate-vulkan,1392155
candidate-vulkan,1428733
candidate-vulkan,1463526
candidate-vulkan,1500888
candidate-vulkan,1535549
candidate-vulkan,1574669
candidate-vulkan,1608782
candidate-vulkan,1651877
candidate-vulkan,1693329
candidate-vulkan,1728422
candidate-vulkan,1804636
candidate-vulkan,1842869
candidate-vulkan,1877975
candidate-vulkan,1912779
candidate-vulkan,1953207
candidate-vulkan,1989810
candidate-vulkan,2026679
candidate-vulkan,2064107
candidate-vulkan,2099732
candidate-vulkan,2136971
candidate-vulkan,2175579
candidate-vulkan,2210182
candidate-vulkan,2243494
candidate-vulkan,2279598
candidate-vulkan,2313109
candidate-vulkan,2351062
candidate-vulkan,2383853
candidate-vulkan,2419636
candidate-vulkan,2454211
candidate-vulkan,2494949
candidate-vulkan,2529946
candidate-vulkan,2567549
candidate-vulkan,2605642
candidate-vulkan,2648668
candidate-vulkan,2688535
candidate-vulkan,2732211
candidate-vulkan,2777838
candidate-vulkan,2816448
candidate-vulkan,2862155
candidate-vulkan,2901520
candidate-vulkan,2939899
candidate-vulkan,2979187
candidate-vulkan,3017289
candidate-vulkan,3056042
candidate-vulkan,3106771
candidate-vulkan,3146727
candidate-vulkan,3184546
candidate-vulkan,3224082
candidate-vulkan,3262176
candidate-vulkan,3300534
candidate-vulkan,3336978
candidate-vulkan,3377624
candidate-vulkan,3413050
candidate-vulkan,3447649
candidate-vulkan,3481846
candidate-vulkan,3523478
candidate-vulkan,3558710
candidate-vulkan,3594183
candidate-vulkan,3628371
candidate-vulkan,3666470
candidate-vulkan,3700778
candidate-vulkan,3737585
candidate-vulkan,3774197
candidate-vulkan,3808824
candidate-vulkan,3842424
candidate-vulkan,3877186
candidate-vulkan,3910772
candidate-vulkan,3946386
candidate-vulkan,3980705
candidate-vulkan,4025477
candidate-vulkan,4059056
candidate-vulkan,4093392
candidate-vulkan,4127965
candidate-vulkan,4162049
candidate-vulkan,4196532
candidate-vulkan,4234131
candidate-vulkan,4266208
candidate-vulkan,4298742
candidate-vulkan,4341187
candidate-vulkan,4375742
candidate-vulkan,4410514
candidate-vulkan,4449661
candidate-vulkan,4480741
candidate-vulkan,4516701
candidate-vulkan,4548774
candidate-vulkan,4584081
candidate-vulkan,4617078
candidate-vulkan,4652117
candidate-vulkan,4690217
candidate-vulkan,4726820
candidate-vulkan,4760963
candidate-vulkan,4796407
candidate-vulkan,4831811
candidate-vulkan,4869597
candidate-vulkan,4906230
candidate-vulkan,4954863
candidate-vulkan,4992559
candidate-vulkan,5026875
candidate-vulkan,5060451
candidate-vulkan,5095513
candidate-vulkan,5128593
candidate-vulkan,5163170
candidate-vulkan,5200397
candidate-vulkan,5239608
candidate-vulkan,5283762
candidate-vulkan,5322479
candidate-vulkan,5362317
candidate-vulkan,5403756
candidate-vulkan,5444853
candidate-vulkan,5487285
candidate-vulkan,5529899
candidate-vulkan,5571843
candidate-vulkan,5608570
candidate-vulkan,5642796
candidate-vulkan,5677753
candidate-vulkan,5717548
candidate-vulkan,5752645
candidate-vulkan,5788596
candidate-vulkan,5824690
candidate-vulkan,5871666
candidate-vulkan,5907990
candidate-vulkan,5943834
candidate-vulkan,5977241
candidate-vulkan,6011322
candidate-vulkan,6045394
candidate-vulkan,6078100
candidate-vulkan,6112741
candidate-vulkan,6146460
candidate-vulkan,6181968
candidate-vulkan,6215056
candidate-vulkan,6249572
candidate-vulkan,6286289
candidate-vulkan,6322366
candidate-vulkan,6359450
candidate-vulkan,6393108
candidate-vulkan,6428615
candidate-vulkan,6467550
candidate-vulkan,6503160
candidate-vulkan,6538264
candidate-vulkan,6574237
candidate-vulkan,6609722
candidate-vulkan,6644551
candidate-vulkan,6679095
candidate-vulkan,6715192
