renderer,build,sequence,source_commit,xemu_sha256,guest_fps,guest_p95_ms,guest_p99_ms,host_fps,end_image_sha256,private_hdd_deleted
VULKAN,baseline,1,d03cc91c0d5ee82ea10c9b4782042aeec0299ee1,29f25f9057b23f2bf539c43da469f202ae79924146036600676468d33873278c,23.891163431635437,54.395,61.8,59.99997870968517,b51c8eee9b61da4d06c89fba00e071590217c52f922b4834d1de3f958b861942,True
VULKAN,candidate,2,67178d0af1e9b7e4a4019dd5c2c77e9045ae8b3b,8bdb01e0bcc932364f522d73e5b11cb9dc94c94203150230d8d1a6ff15a3b1a2,30.003860127494725,39.981,41.973,59.99596261874462,a2f533ed15f6438f6d582d48c80581f85e7398472fe394323ad4400c625afab7,True
VULKAN,candidate,3,67178d0af1e9b7e4a4019dd5c2c77e9045ae8b3b,8bdb01e0bcc932364f522d73e5b11cb9dc94c94203150230d8d1a6ff15a3b1a2,30.003328856869913,38.872,41.956,60.00906512252821,e95274ae78aee59a7fe6606d8fda093afac1e8a42980424eabe03b59eacd5ab8,True
VULKAN,baseline,4,d03cc91c0d5ee82ea10c9b4782042aeec0299ee1,29f25f9057b23f2bf539c43da469f202ae79924146036600676468d33873278c,23.39012931748242,56.65,62.503,59.999944736015195,b9259de908e991e7c9568fc2343f00b88941947ee92e7ac225ef7d3630874a2a,True
OPENGL,baseline,1,d03cc91c0d5ee82ea10c9b4782042aeec0299ee1,29f25f9057b23f2bf539c43da469f202ae79924146036600676468d33873278c,24.870588882886445,51.126,65.456,59.98162854124707,f4d8e288e6ea7b9bcc99dcb3fbe4a5286bd5016692a422db3d61690bc7dc4176,True
OPENGL,candidate,2,67178d0af1e9b7e4a4019dd5c2c77e9045ae8b3b,8bdb01e0bcc932364f522d73e5b11cb9dc94c94203150230d8d1a6ff15a3b1a2,30.015070366730665,39.592,42.162,60.00037391392309,02f90ca042436547d2a1e3e8daccffa5e203fdf12d0e69f4d98a797b855436bc,True
OPENGL,candidate,3,67178d0af1e9b7e4a4019dd5c2c77e9045ae8b3b,8bdb01e0bcc932364f522d73e5b11cb9dc94c94203150230d8d1a6ff15a3b1a2,30.022114832899547,39.095,42.599,60.00099124239743,d553457f0bec09c01e2020c7f4eb5107f7e43ca31ca270ba0d481967f6b29f46,True
OPENGL,baseline,4,d03cc91c0d5ee82ea10c9b4782042aeec0299ee1,29f25f9057b23f2bf539c43da469f202ae79924146036600676468d33873278c,24.98115363157835,50.392,65.556,59.99804154252731,d199a4c5e23c92e40e2f54758403a58139f5592ea61dda5531784cc9a33c6516,True
