cell,samples,incomplete_rows_excluded,device_gpu_mean_percent,device_vram_mean_mib,device_power_mean_watts
pgr2-on-vulkan,118,1,34.07627118644068,1036.042372881356,21.424745762711865
pgr2-off-vulkan,118,1,34.144067796610166,1033.449152542373,20.854322033898306
pgr2-off-opengl,119,1,38.18487394957983,594.0168067226891,23.925042016806724
pgr2-on-opengl,117,1,37.61538461538461,592.0,23.75034188034188
