cell,capture_status,source,exe_sha256,renderer,gameplay_qualification,error,cadence_fps,p95_ms,p99_ms,max_ms,intervals,over_75ms,over_150ms,median_gap_spacing_s
morrowind-off-opengl,complete,0edb216c23ab071042bb26005267d0c3816337cd,caeb70731620b16e85cb5fb92564a2346180edf92bdf353c8aae86c0a164d1da,OPENGL,NOT_ESTABLISHED,,38.543135495075326,32.023,36.845,42.144,2312,0,0,
morrowind-off-vulkan,complete,0edb216c23ab071042bb26005267d0c3816337cd,caeb70731620b16e85cb5fb92564a2346180edf92bdf353c8aae86c0a164d1da,VULKAN,NOT_ESTABLISHED,,27.91879819213607,42.71,49.049,73.71,1674,0,0,
morrowind-on-opengl,complete,0edb216c23ab071042bb26005267d0c3816337cd,caeb70731620b16e85cb5fb92564a2346180edf92bdf353c8aae86c0a164d1da,OPENGL,NOT_ESTABLISHED,,38.544211152123985,31.768,36.909,45.977,2312,0,0,
morrowind-on-vulkan,complete,0edb216c23ab071042bb26005267d0c3816337cd,caeb70731620b16e85cb5fb92564a2346180edf92bdf353c8aae86c0a164d1da,VULKAN,NOT_ESTABLISHED,,28.328307712582692,41.735,48.173,73.229,1699,0,0,
