renderer,group,test_id,baseline_average_us,candidate_average_us,average_delta_percent,baseline_p95_us,candidate_p95_us,p95_delta_percent
vulkan,game_load,game_load.s3tc_sync_factor.bc2_native_eligible,17516,17843,1.8669,24263,27187,12.0513
vulkan,game_load,game_load.s3tc_sync_factor.bc3_bordered_fallback,49491,49712,0.4465,50608,50209,-0.7884
vulkan,game_load,game_load.s3tc_sync_factor.bc3_native_eligible,17721,16011,-9.6496,26308,16919,-35.6888
vulkan,game_load,game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,16741,14924,-10.8536,18512,16982,-8.2649
vulkan,game_load,game_load.s3tc_sync_factor.dxt1_ring_payload_generations,16953,15258,-9.9982,23093,16770,-27.3806
vulkan,game_load,game_load.s3tc_sync_factor.dxt1_same_address_queued,17259,16251,-5.8404,21633,16977,-21.5227
vulkan,game_load,game_load.s3tc_sync_factor.dxt1_same_address_wait,32232,33643,4.3776,38029,38475,1.1728
vulkan,game_load,game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,17288,15829,-8.4394,22597,17169,-24.0209
vulkan,game_load,game_load.s3tc_sync_factor.rgba8_ring_payload_generations,48347,48662,0.6515,51619,50252,-2.6482
vulkan,game_load,game_load.s3tc_sync_factor.rgba8_same_address_queued,49165,49393,0.4637,50796,50766,-0.0591
vulkan,game_load,game_load.s3tc_sync_factor.rgba8_same_address_wait,49766,52223,4.9371,50517,59826,18.4275
vulkan,high_vertex_count,high_vertex_count.arrays,133,139,4.5113,92,87,-5.4348
vulkan,high_vertex_count,high_vertex_count.inline_arrays,31765,30688,-3.3905,34920,33943,-2.7978
vulkan,high_vertex_count,high_vertex_count.inline_buffers,203021,192543,-5.161,205343,198433,-3.3651
vulkan,high_vertex_count,high_vertex_count.inline_elements,2355,2366,0.4671,2454,2472,0.7335
vulkan,pfifo_array_elements,pfifo_array_elements.array_element16,559,568,1.61,711,841,18.2841
vulkan,pfifo_array_elements,pfifo_array_elements.array_element32,1017,994,-2.2616,1115,1128,1.1659
vulkan,pfifo_array_elements,pfifo_array_elements.array_element_pgr2,1311,1296,-1.1442,6794,7150,5.2399
vulkan,pipeline_texture_switch,pipeline_texture_switch.clear_texture_normal,28824,28237,-2.0365,34264,33372,-2.6033
vulkan,pipeline_texture_switch,pipeline_texture_switch.sampler_only_identity,18550,17766,-4.2264,19607,19502,-0.5355
vulkan,pipeline_texture_switch,pipeline_texture_switch.shader_negative_control,18867,18291,-3.0529,24393,23198,-4.8989
vulkan,pipeline_texture_switch,pipeline_texture_switch.texture_switch,17798,17390,-2.2924,21447,22140,3.2312
vulkan,primitive_type,primitive_type.line_loop.fixed_function,791,843,6.574,4412,4771,8.1369
vulkan,primitive_type,primitive_type.line_loop.vertex_shader,468,438,-6.4103,987,846,-14.2857
vulkan,primitive_type,primitive_type.line_strip.fixed_function,780,741,-5.0,3246,2708,-16.5742
vulkan,primitive_type,primitive_type.line_strip.vertex_shader,435,433,-0.4598,753,799,6.1089
vulkan,primitive_type,primitive_type.lines.fixed_function,994,1025,3.1187,3129,3352,7.1269
vulkan,primitive_type,primitive_type.lines.vertex_shader,806,782,-2.9777,1201,1171,-2.4979
vulkan,primitive_type,primitive_type.points.fixed_function,963,953,-1.0384,6057,5863,-3.2029
vulkan,primitive_type,primitive_type.points.vertex_shader,1007,1063,5.5611,6463,6939,7.365
vulkan,primitive_type,primitive_type.polygon.fixed_function,676,668,-1.1834,3146,3145,-0.0318
vulkan,primitive_type,primitive_type.polygon.vertex_shader,465,423,-9.0323,1010,738,-26.9307
vulkan,primitive_type,primitive_type.quad_strip.fixed_function,1362,1328,-2.4963,6904,6535,-5.3447
vulkan,primitive_type,primitive_type.quad_strip.vertex_shader,930,963,3.5484,2437,2532,3.8982
vulkan,primitive_type,primitive_type.quads.fixed_function,1485,1519,2.2896,1819,1953,7.3667
vulkan,primitive_type,primitive_type.quads.vertex_shader,1500,1516,1.0667,1815,1815,0.0
vulkan,primitive_type,primitive_type.triangle_fan.fixed_function,669,675,0.8969,3108,3106,-0.0644
vulkan,primitive_type,primitive_type.triangle_fan.vertex_shader,425,434,2.1176,731,843,15.3215
vulkan,primitive_type,primitive_type.triangle_strip.fixed_function,438,434,-0.9132,751,771,2.6631
vulkan,primitive_type,primitive_type.triangle_strip.vertex_shader,432,438,1.3889,763,840,10.0917
vulkan,primitive_type,primitive_type.triangles.fixed_function,1342,1431,6.6319,3677,4138,12.5374
vulkan,primitive_type,primitive_type.triangles.vertex_shader,1136,1129,-0.6162,1450,1506,3.8621
vulkan,report_query,report_query.clear_boundary,3249,3254,0.1539,4347,4270,-1.7713
vulkan,report_query,report_query.dma_target_switch,3538,3881,9.6947,4316,4579,6.0936
vulkan,report_query,report_query.fifo_producer_ordering,3156,2913,-7.6996,3970,3235,-18.5139
vulkan,report_query,report_query.multiple_boundaries,2817,2963,5.1828,3393,3843,13.2626
vulkan,report_query,report_query.single_boundary,2739,2657,-2.9938,2808,2702,-3.7749
vulkan,report_query,report_query.zero_query,1672,1662,-0.5981,2750,2706,-1.6
vulkan,surface,surface.basic,41988,42717,1.7362,84932,88603,4.3223
