renderer,group,test_id,baseline_average_us,candidate_average_us,average_delta_percent,baseline_p95_us,candidate_p95_us,p95_delta_percent
opengl,surface,surface.vulkan_memory_pressure.stress.growth,54217,54869,1.2026,66303,63906,-3.6152
opengl,surface,surface.vulkan_memory_pressure.stress.idle_retention,776,811,4.5103,897,857,-4.4593
opengl,surface,surface.vulkan_memory_pressure.stress.plateau,51144,50796,-0.6804,56215,54303,-3.4012
opengl,surface,surface.vulkan_memory_pressure.stress.reuse,57230,55609,-2.8324,70805,67970,-4.004
opengl,tiny_draw,tiny_draw.arrays.fixed_function,18500,17201,-7.0216,22809,18864,-17.2958
opengl,tiny_draw,tiny_draw.arrays.vertex_shader,17911,17070,-4.6954,18422,17460,-5.222
opengl,tiny_draw,tiny_draw.inline_arrays.fixed_function,65987,66429,0.6698,73771,71714,-2.7884
opengl,tiny_draw,tiny_draw.inline_arrays.vertex_shader,63473,64565,1.7204,65272,69180,5.9873
opengl,tiny_draw,tiny_draw.inline_buffers.fixed_function,70245,69020,-1.7439,72208,71673,-0.7409
opengl,tiny_draw,tiny_draw.inline_buffers.vertex_shader,67930,65619,-3.402,75574,67835,-10.2403
opengl,tiny_draw,tiny_draw.inline_elements.fixed_function,17738,17719,-0.1071,18086,18287,1.1114
opengl,tiny_draw,tiny_draw.inline_elements.vertex_shader,18211,17006,-6.6169,18992,17312,-8.8458
opengl,uniform_thrash,uniform_thrash.uniform_thrash,1833,1732,-5.5101,2812,2544,-9.5306
opengl,vertex_buffer_allocation,vertex_buffer_allocation.disjoint_same_page,19504,18503,-5.1323,19854,19044,-4.0798
opengl,vertex_buffer_allocation,vertex_buffer_allocation.mixed.arrays,22105,22368,1.1898,23856,23612,-1.0228
opengl,vertex_buffer_allocation,vertex_buffer_allocation.mixed.inline_arrays,93173,91326,-1.9823,99362,98187,-1.1825
opengl,vertex_buffer_allocation,vertex_buffer_allocation.mixed.inline_buffers,474422,462208,-2.5745,482083,469490,-2.6122
opengl,vertex_buffer_allocation,vertex_buffer_allocation.mixed.inline_elements,27015,26986,-0.1073,27596,27550,-0.1667
opengl,vertex_buffer_allocation,vertex_buffer_allocation.tiny.arrays,28209,27871,-1.1982,29485,29474,-0.0373
opengl,vertex_buffer_allocation,vertex_buffer_allocation.tiny.inline_arrays,70178,69861,-0.4517,73741,76509,3.7537
opengl,vertex_buffer_allocation,vertex_buffer_allocation.tiny.inline_buffers,92826,91308,-1.6353,96811,95142,-1.724
opengl,vertex_buffer_allocation,vertex_buffer_allocation.tiny.inline_elements,29067,28757,-1.0665,29789,29631,-0.5304
