workload,run,build,renderer,process_sample_count,device_sample_count,collector_error_count,process_cpu_percent_host_capacity_mean,process_cpu_percent_host_capacity_peak,process_cpu_percent_one_core_mean,process_cpu_percent_one_core_peak,process_working_set_bytes_mean,process_working_set_bytes_peak,process_private_bytes_mean,process_private_bytes_peak,process_gpu_engine_percent_sum_mean,process_gpu_engine_percent_sum_peak,process_gpu_dedicated_bytes_mean,process_gpu_dedicated_bytes_peak,process_gpu_shared_bytes_mean,process_gpu_shared_bytes_peak,device_gpu_percent_mean,device_gpu_percent_peak,device_memory_percent_mean,device_memory_percent_peak,device_memory_used_mib_mean,device_memory_used_mib_peak,gpu_csv_total_samples,gpu_csv_window,power_watts_samples,power_watts_mean,graphics_clock_mhz_samples,graphics_clock_mhz_mean,memory_clock_mhz_samples,memory_clock_mhz_mean
pgr2,eng523-upstream-pr52-baseline-1-pgr2-vulkan,baseline,VULKAN,20,10,0,17.946163988591454,19.887627814738767,287.13862381746327,318.2020450358203,2355818905.6,2361495552.0,7440514662.4,7444152320.0,30.39813882358728,34.388190910948424,3592048640.0,3592048640.0,1814220800.0,1814220800.0,28.7,38.0,12.3,14.0,3788.0,3788.0,10,measurement only,10,17.769,10,211.5,10,445.5
pgr2,eng523-upstream-pr52-candidate-2-pgr2-vulkan,candidate,VULKAN,20,10,0,16.598002650589887,20.37917984789176,265.5680424094382,326.06687756626815,1054096179.2,1147400192.0,3251859251.2,3344814080.0,46.29685229405883,54.58029739253805,708375142.4,708603904.0,489738035.2,491343872.0,36.3,45.0,8.0,12.0,1040.0,1040.0,10,measurement only,10,21.481,10,507.0,10,2886.4
pgr2,eng523-upstream-pr52-candidate-3-pgr2-vulkan,candidate,VULKAN,20,10,0,16.171301959940635,17.994488110008053,258.74083135905016,287.91180976012885,1045479628.8,1123921920.0,3250348441.6,3336810496.0,41.3749592989971,53.156790048709375,708470169.6,708669440.0,489821388.8,491380736.0,40.2,60.0,9.9,20.0,1040.0,1040.0,10,measurement only,10,20.826,10,396.0,10,1848.2
pgr2,eng523-upstream-pr52-baseline-4-pgr2-vulkan,baseline,VULKAN,20,10,1,18.351231689034467,20.692092319710586,293.6197070245515,331.07347711536937,2342661529.6,2347569152.0,7441767424.0,7444967424.0,27.666780130997015,30.784610275486077,3592048640.0,3592048640.0,1814220800.0,1814220800.0,28.3,38.0,11.7,14.0,3788.0,3788.0,10,measurement only,10,19.684,10,337.5,10,1064.6
pgr2,eng523-upstream-pr52-baseline-1-pgr2-opengl,baseline,OPENGL,20,10,0,20.122096728304115,22.168560076382192,321.95354765286584,354.6969612221151,709299404.8,713519104.0,2449071718.4,2453917696.0,34.342552741083225,38.853426599160784,221635379.2,223522816.0,43646976.0,43646976.0,33.0,41.0,8.5,13.0,600.2,602.0,10,measurement only,10,19.215,10,225.0,10,688.5
pgr2,eng523-upstream-pr52-candidate-2-pgr2-opengl,candidate,OPENGL,20,10,0,17.705051770595002,20.947041077273358,283.28082832952003,335.1526572363737,716089344.0,719024128.0,2393598771.2,2394402816.0,44.24579173907276,45.94509878739693,170774528.0,170774528.0,43634688.0,43634688.0,38.3,41.0,1.0,1.0,552.0,552.0,10,measurement only,10,24.232,10,688.5,10,6001.0
pgr2,eng523-upstream-pr52-candidate-3-pgr2-opengl,candidate,OPENGL,20,10,0,17.765806766322676,20.381454781176327,284.2529082611628,326.10327649882123,715599667.2,718594048.0,2398529126.4,2399436800.0,44.62558776476667,46.729269571706226,170783129.6,170786816.0,43844403.2,45731840.0,38.3,40.0,1.0,1.0,552.0,552.0,10,measurement only,10,24.16,10,684.0,10,6001.0
pgr2,eng523-upstream-pr52-baseline-4-pgr2-opengl,baseline,OPENGL,20,10,0,19.547873861064783,22.05761680776055,312.76598177703653,352.9218689241688,709758771.2,716152832.0,2449189068.8,2454036480.0,34.62958266890704,37.517442748266376,224994918.4,225624064.0,43646976.0,43646976.0,33.3,43.0,8.6,12.0,603.4,604.0,10,measurement only,10,18.743,10,220.5,10,648.0
