workload,renderer,baseline_runs,baseline_fps,baseline_p95_ms,baseline_p99_ms,candidate_runs,candidate_fps,candidate_p95_ms,candidate_p99_ms
morrowind,OPENGL,1,38.29952130611394,31.876,37.299,1,38.42277999346913,31.856,36.53
morrowind,VULKAN,1,18.696237010387268,63.821,73.365,1,27.687989662347977,41.936,48.707
pgr2,OPENGL,2,5.7049331338550795,244.30349999999999,272.576,2,29.999684047963893,39.573499999999996,42.558499999999995
pgr2,VULKAN,2,4.636241303112943,285.53049999999996,325.0615,2,30.001336639972422,39.1665,41.345
