cell,capture_status,source,exe_sha256,renderer,gameplay_qualification,error,cadence_fps,p95_ms,p99_ms,max_ms,intervals,over_75ms,over_150ms,median_gap_spacing_s
frozen-s-OPENGL,complete,208e4596832a1f949bd63822d5ddd962c4575067,dd87baca92b74fce22a5e8d5c26e5a17890395c74a1ba4ac6c20d21d18548c86,OPENGL,NOT_ESTABLISHED,,37.30056184117174,32.845,38.024,46.356,2237,0,0,
frozen-s-VULKAN,complete,208e4596832a1f949bd63822d5ddd962c4575067,dd87baca92b74fce22a5e8d5c26e5a17890395c74a1ba4ac6c20d21d18548c86,VULKAN,NOT_ESTABLISHED,,28.42369256894084,41.385,47.826,78.443,1704,1,0,
wait-only-OPENGL,complete,1945c40dd7d0c501949f3ab8820f0202f0fe6bd4,9d3d2373bd5bec7a84c177781fddf8bad8cc6b86777877879977684e8e285c65,OPENGL,NOT_ESTABLISHED,,38.44103050900892,31.48,37.009,45.844,2306,0,0,
wait-only-VULKAN,complete,1945c40dd7d0c501949f3ab8820f0202f0fe6bd4,9d3d2373bd5bec7a84c177781fddf8bad8cc6b86777877879977684e8e285c65,VULKAN,NOT_ESTABLISHED,,27.819028679267095,43.114,48.615,75.277,1668,1,0,
